AwayWinRate,CompetitionName,Country,DrawRate,HomeWinRate,Matchsplayed,Matchsremaining,url
30%,Korean Cup 2019,South Korea,26%,44%,54,0,https://www.betexplorer.com/soccer/south-korea/korean-cup/stats/
,,,,,,,
0%,Recopa Sudamericana 2019,South America,0%,0%,0,2,https://www.betexplorer.com/soccer/south-america/recopa-sudamericana/stats/
,,,,,,,
35%,Primera Division Women 2018/2019,Spain,19%,46%,208,32,https://www.betexplorer.com/soccer/spain/primera-division-women/stats/
,,,,,,,
33%,South American Championship U20 2019,South America,27%,40%,15,0,https://www.betexplorer.com/soccer/south-america/south-american-championship-u20/stats/
,,,,,,,
0%,WK League Women 2019,South Korea,0%,0%,0,112,https://www.betexplorer.com/soccer/south-korea/wk-league-women/stats/
,,,,,,,
17%,K League 1 2019,South Korea,27%,57%,30,168,https://www.betexplorer.com/soccer/south-korea/k-league-1/stats/
,,,,,,,
75%,Multichoice Diski Shield 2019,South Africa,13%,13%,8,0,https://www.betexplorer.com/soccer/south-africa/multichoice-diski-shield/stats/
,,,,,,,
0%,Copa América 2019,South America,0%,0%,0,18,https://www.betexplorer.com/soccer/south-america/copa-america/stats/
,,,,,,,
54%,Slovenian Cup 2018/2019,Slovenia,21%,25%,32,4,https://www.betexplorer.com/soccer/slovenia/slovenian-cup/stats/
,,,,,,,
23%,Copa Federacion 2018/2019,Spain,34%,44%,62,0,https://www.betexplorer.com/soccer/spain/copa-federacion/stats/
,,,,,,,
35%,Tercera Division - Group 16 2018/2019,Spain,19%,46%,310,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-16/stats/
,,,,,,,
30%,Tercera Division - Group 14 2018/2019,Spain,27%,43%,310,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-14/stats/
,,,,,,,
30%,Prva liga 2018/2019,Slovenia,27%,43%,120,60,https://www.betexplorer.com/soccer/slovenia/prva-liga/stats/
,,,,,,,
29%,Copa del Rey 2018/2019,Spain,28%,43%,111,1,https://www.betexplorer.com/soccer/spain/copa-del-rey/stats/
,,,,,,,
30%,Tercera Division - Group 15 2018/2019,Spain,29%,41%,310,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-15/stats/
,,,,,,,
29%,2. SNL 2018/2019,Slovenia,25%,47%,167,73,https://www.betexplorer.com/soccer/slovenia/2-snl/stats/
,,,,,,,
31%,Tercera Division - Group 18 2018/2019,Spain,21%,48%,310,70,https://www.betexplorer.com/soccer/spain/tercera-division-group-18/stats/
,,,,,,,
29%,Tercera Division - Group 17 2018/2019,Spain,28%,42%,320,60,https://www.betexplorer.com/soccer/spain/tercera-division-group-17/stats/
,,,,,,,
